"User-ID";"ISBN";"Book-Rating"
1;"00001";8
1;"00002";0
1;"00003";0
1;"00004";0
1;"00005";0
1;"00006";0
1;"00007";0
1;"00008";0
1;"00009";0
1;"00010";0
2;"00001";0
2;"00002";7
2;"00003";0
2;"00004";0
2;"00005";0
2;"00006";0
2;"00007";0
2;"00008";0
2;"00009";0
2;"00010";0
3;"00001";0
3;"00002";9
3;"00003";0
3;"00004";0
3;"00005";0
3;"00006";0
3;"00007";0
3;"00008";0
3;"00009";0
3;"00010";0
4;"00001";0
4;"00002";0
4;"00003";0
4;"00004";10
4;"00005";0
4;"00006";0
4;"00007";0
4;"00008";0
4;"00009";0
4;"00010";0
5;"00001";0
5;"00002";0
5;"00003";6
5;"00004";0
5;"00005";0
5;"00006";0
5;"00007";0
5;"00008";0
5;"00009";0
5;"00010";3
6;"00001";0
6;"00002";0
6;"00003";0
6;"00004";0
6;"00005";4
6;"00006";0
6;"00007";0
6;"00008";0
6;"00009";0
6;"00010";0
7;"00001";0
7;"00002";0
7;"00003";0
7;"00004";0
7;"00005";0
7;"00006";0
7;"00007";0
7;"00008";0
7;"00009";5
7;"00010";0
8;"00001";0
8;"00002";0
8;"00003";0
8;"00004";0
8;"00005";0
8;"00006";0
8;"00007";0
8;"00008";8
8;"00009";0
8;"00010";0
9;"00001";6
9;"00002";0
9;"00003";0
9;"00004";0
9;"00005";0
9;"00006";0
9;"00007";0
9;"00008";0
9;"00009";0
9;"00010";0
10;"00001";0
10;"00002";0
10;"00003";7
10;"00004";0
10;"00005";0
10;"00006";0
10;"00007";0
10;"00008";0
10;"00009";0
10;"00010";0
11;"00001";0
11;"00002";0
11;"00003";9
11;"00004";0
11;"00005";0
11;"00006";0
11;"00007";0
11;"00008";0
11;"00009";0
11;"00010";0
12;"00001";8
12;"00002";0
12;"00003";0
12;"00004";0
12;"00005";0
12;"00006";0
12;"00007";0
12;"00008";0
12;"00009";0
12;"00010";0
13;"00001";0
13;"00002";0
13;"00003";0
13;"00004";0
13;"00005";0
13;"00006";0
13;"00007";0
13;"00008";3
13;"00009";0
13;"00010";0
14;"00001";0
14;"00002";0
14;"00003";0
14;"00004";0
14;"00005";0
14;"00006";0
14;"00007";0
14;"00008";0
14;"00009";8
14;"00010";0
15;"00001";0
15;"00002";0
15;"00003";0
15;"00004";0
15;"00005";0
15;"00006";0
15;"00007";0
15;"00008";0
15;"00009";9
15;"00010";0
16;"00001";0
16;"00002";0
16;"00003";1
16;"00004";0
16;"00005";0
16;"00006";0
16;"00007";0
16;"00008";0
16;"00009";0
16;"00010";0
17;"00001";0
17;"00002";5
17;"00003";0
17;"00004";0
17;"00005";0
17;"00006";0
17;"00007";0
17;"00008";0
17;"00009";0
17;"00010";0
18;"00001";0
18;"00002";0
18;"00003";0
18;"00004";0
18;"00005";1
18;"00006";0
18;"00007";0
18;"00008";0
18;"00009";0
18;"00010";0
19;"00001";0
19;"00002";0
19;"00003";0
19;"00004";0
19;"00005";0
19;"00006";0
19;"00007";0
19;"00008";9
19;"00009";0
19;"00010";0
20;"00001";0
20;"00002";0
20;"00003";0
20;"00004";0
20;"00005";0
20;"00006";0
20;"00007";0
20;"00008";0
20;"00009";0
20;"00010";8
