"User-ID";"Location";"Age"
1;"nyc, new york, usa";0
2;"stockton, california, usa";18
3;"moscow, yukon territory, russia";0
4;"porto, v.n.gaia, portugal";17
5;"farnborough, hants, united kingdom";0
6;"santa monica, california, usa";61
7;"washington, dc, usa";0
8;"timmins, ontario, canada";0
9;"germantown, tennessee, usa";0
10;"albacete, wisconsin, spain";26
11;"melbourne, victoria, australia";14
12;"fort bragg, california, usa";0
13;"barcelona, barcelona, spain";26
14;"mediapolis, iowa, usa";0
15;"calgary, alberta, canada";0
16;"albuquerque, new mexico, usa";0
17;"chesapeake, virginia, usa";0
18;"rio de janeiro, rio de janeiro, brazil";25
19;"weston, ,";14
20;"langhorne, pennsylvania, usa";19
